head,relation,tail
DB00277,hasSideEffect,C0687713
DB00277,hasSideEffect,C0011991
DB00277,hasSideEffect,C0018926
DB00277,hasSideEffect,C0039231
DB00277,hasSideEffect,C0020456
DB00277,hasSideEffect,C0040822
DB00277,hasSideEffect,C0036572
DB00277,hasSideEffect,C0233407
DB00277,hasSideEffect,C0020621
DB00277,hasSideEffect,C0039239
DB00277,hasSideEffect,C0085612
DB00277,hasSideEffect,C0151636
DB00277,hasSideEffect,C0039240
DB00277,hasSideEffect,C0016385
DB00277,hasSideEffect,C0035410
DB00277,hasSideEffect,C0221158
DB00277,hasSideEffect,C0546959
DB00277,hasSideEffect,C0948268
DB00287,hasSideEffect,C0011603
DB00287,hasSideEffect,C0015230
DB00287,hasSideEffect,C0020517
DB00287,hasSideEffect,C0018681
DB00287,hasSideEffect,C0020538
DB00287,hasSideEffect,C0020649
DB00287,hasSideEffect,C0030193
DB00287,hasSideEffect,C0428977
DB00287,hasSideEffect,C0004093
DB00287,hasSideEffect,C0009806
DB00287,hasSideEffect,C0012833
DB00287,hasSideEffect,C0013404
DB00287,hasSideEffect,C0017178
DB00287,hasSideEffect,C0021053
DB00287,hasSideEffect,C0021400
DB00287,hasSideEffect,C0027765
DB00287,hasSideEffect,C0033774
DB00287,hasSideEffect,C0037274
DB00287,hasSideEffect,C0178298
DB00287,hasSideEffect,C0010200
DB00287,hasSideEffect,C0019348
DB00287,hasSideEffect,C0043352
DB00287,hasSideEffect,C0231218
DB00287,hasSideEffect,C0234215
DB00287,hasSideEffect,C1443060
DB00287,hasSideEffect,C2047937
DB00287,hasSideEffect,C0009763
DB00287,hasSideEffect,C0027424
DB00287,hasSideEffect,C2363731
DB00287,hasSideEffect,C0086543
DB00287,hasSideEffect,C0025874
DB00287,hasSideEffect,C0014236
DB00287,hasSideEffect,C0026858
DB00287,hasSideEffect,C0030332
DB00287,hasSideEffect,C0344232
DB00287,hasSideEffect,C0004096
DB00287,hasSideEffect,C0011615
DB00287,hasSideEffect,C0013378
DB00287,hasSideEffect,C0020443
DB00287,hasSideEffect,C0026961
DB00287,hasSideEffect,C0030252
DB00287,hasSideEffect,C0036454
DB00287,hasSideEffect,C0085636
DB00287,hasSideEffect,C0151827
DB00287,hasSideEffect,C0151907
DB00287,hasSideEffect,C0314719
DB00287,hasSideEffect,C1527344
DB00287,hasSideEffect,C0011616
DB00287,hasSideEffect,C0152227
DB00287,hasSideEffect,C0700184
DB00287,hasSideEffect,C0015397
DB00287,hasSideEffect,C0235266
DB00287,hasSideEffect,C0497247
DB00287,hasSideEffect,C0005741
DB00287,hasSideEffect,C0018799
DB00287,hasSideEffect,C0151205
DB00287,hasSideEffect,C0234632
DB00287,hasSideEffect,C0020452
DB00287,hasSideEffect,C0022568
DB00287,hasSideEffect,C0162834
DB00287,hasSideEffect,C0423153
DB00287,hasSideEffect,C0423602
DB00287,hasSideEffect,C0877306
DB00315,hasSideEffect,C0011603
DB00315,hasSideEffect,C0014591
DB00315,hasSideEffect,C0015230
DB00315,hasSideEffect,C0015967
DB00315,hasSideEffect,C0018965
DB00315,hasSideEffect,C0020517
DB00315,hasSideEffect,C0036974
DB00315,hasSideEffect,C0000737
DB00315,hasSideEffect,C0003467
DB00315,hasSideEffect,C0004604
DB00315,hasSideEffect,C0008031
DB00315,hasSideEffect,C0013395
DB00315,hasSideEffect,C0013491
DB00315,hasSideEffect,C0020538
DB00315,hasSideEffect,C0027497
DB00315,hasSideEffect,C0027769
DB00315,hasSideEffect,C0030193
DB00315,hasSideEffect,C0233494
DB00315,hasSideEffect,C0687713
DB00315,hasSideEffect,C0917801
DB00315,hasSideEffect,C0003862
DB00315,hasSideEffect,C0004093
DB00315,hasSideEffect,C0007859
DB00315,hasSideEffect,C0011991
DB00315,hasSideEffect,C0012833
DB00315,hasSideEffect,C0013404
DB00315,hasSideEffect,C0013604
DB00315,hasSideEffect,C0017178
DB00315,hasSideEffect,C0020458
DB00315,hasSideEffect,C0021400
DB00315,hasSideEffect,C0022408
DB00315,hasSideEffect,C0029408
DB00315,hasSideEffect,C0030554
DB00315,hasSideEffect,C0033774
DB00315,hasSideEffect,C0035455
DB00315,hasSideEffect,C0037274
DB00315,hasSideEffect,C0037763
DB00315,hasSideEffect,C0038990
DB00315,hasSideEffect,C0042571
DB00315,hasSideEffect,C0085633
DB00315,hasSideEffect,C0231528
DB00315,hasSideEffect,C0232461
DB00315,hasSideEffect,C0233472
DB00315,hasSideEffect,C0948594
DB00315,hasSideEffect,C2830004
DB00315,hasSideEffect,C0003811
DB00315,hasSideEffect,C0006277
DB00315,hasSideEffect,C0009450
DB00315,hasSideEffect,C0010200
DB00315,hasSideEffect,C0010692
DB00315,hasSideEffect,C0023218
DB00315,hasSideEffect,C0025323
DB00315,hasSideEffect,C0026826
DB00315,hasSideEffect,C0031350
DB00315,hasSideEffect,C0037199
DB00315,hasSideEffect,C0039231
DB00315,hasSideEffect,C0042023
DB00315,hasSideEffect,C0043352
DB00315,hasSideEffect,C0085593
DB00315,hasSideEffect,C0151885
DB00315,hasSideEffect,C0231218
DB00315,hasSideEffect,C0232849
DB00315,hasSideEffect,C0234215
DB00315,hasSideEffect,C0403632
DB00315,hasSideEffect,C0559546
DB00315,hasSideEffect,C0574067
DB00315,hasSideEffect,C1443060
DB00315,hasSideEffect,C2047937
DB00315,hasSideEffect,C0017160
DB00315,hasSideEffect,C0242429
DB00315,hasSideEffect,C2363730
DB00315,hasSideEffect,C2363731
DB00315,hasSideEffect,C0020580
DB00315,hasSideEffect,C0040822
DB00315,hasSideEffect,C0023067
DB00315,hasSideEffect,C0039971
DB00315,hasSideEffect,C0040264
DB00315,hasSideEffect,C0002418
DB00315,hasSideEffect,C0002622
DB00315,hasSideEffect,C0004134
DB00315,hasSideEffect,C0009676
DB00315,hasSideEffect,C0011168
DB00315,hasSideEffect,C0011551
DB00315,hasSideEffect,C0013456
DB00315,hasSideEffect,C0014868
DB00315,hasSideEffect,C0030252
DB00315,hasSideEffect,C0032617
DB00315,hasSideEffect,C0034880
DB00315,hasSideEffect,C0037036
DB00315,hasSideEffect,C0039070
DB00315,hasSideEffect,C0039520
DB00315,hasSideEffect,C0041657
DB00315,hasSideEffect,C0042109
DB00315,hasSideEffect,C0043387
