head,relation,tail
DB00252,hasSideEffect,C0574067
DB00252,hasSideEffect,C1443060
DB00252,hasSideEffect,C2047937
DB00252,hasSideEffect,C0009763
DB00252,hasSideEffect,C0151736
DB00252,hasSideEffect,C3263723
DB00252,hasSideEffect,C0085682
DB00252,hasSideEffect,C0018790
DB00252,hasSideEffect,C0151734
DB00252,hasSideEffect,C0020456
DB00252,hasSideEffect,C0231530
DB00252,hasSideEffect,C0020580
DB00252,hasSideEffect,C0040822
DB00252,hasSideEffect,C0497156
DB00252,hasSideEffect,C0034886
DB00252,hasSideEffect,C0232726
DB00252,hasSideEffect,C2242737
DB00252,hasSideEffect,C0011053
DB00252,hasSideEffect,C0012569
DB00252,hasSideEffect,C0040264
DB00252,hasSideEffect,C0002418
DB00252,hasSideEffect,C0002622
DB00252,hasSideEffect,C0004096
DB00252,hasSideEffect,C0004134
DB00252,hasSideEffect,C0009676
DB00252,hasSideEffect,C0011168
DB00252,hasSideEffect,C0011206
DB00252,hasSideEffect,C0011551
DB00252,hasSideEffect,C0013378
DB00252,hasSideEffect,C0013456
DB00252,hasSideEffect,C0015371
DB00252,hasSideEffect,C0017152
DB00252,hasSideEffect,C0018991
DB00252,hasSideEffect,C0020039
DB00252,hasSideEffect,C0020578
DB00252,hasSideEffect,C0020651
DB00252,hasSideEffect,C0023518
DB00252,hasSideEffect,C0026827
DB00252,hasSideEffect,C0026961
DB00252,hasSideEffect,C0027066
DB00252,hasSideEffect,C0027932
DB00252,hasSideEffect,C0030252
DB00252,hasSideEffect,C0032617
DB00252,hasSideEffect,C0033975
DB00252,hasSideEffect,C0034880
DB00252,hasSideEffect,C0036454
DB00252,hasSideEffect,C0036572
DB00252,hasSideEffect,C0037036
DB00252,hasSideEffect,C0039070
DB00252,hasSideEffect,C0041657
DB00252,hasSideEffect,C0042109
DB00252,hasSideEffect,C0085628
DB00252,hasSideEffect,C0085631
DB00252,hasSideEffect,C0085636
DB00252,hasSideEffect,C0086439
DB00252,hasSideEffect,C0151766
DB00252,hasSideEffect,C0151786
DB00252,hasSideEffect,C0151827
DB00252,hasSideEffect,C0151907
DB00252,hasSideEffect,C0162830
DB00252,hasSideEffect,C0233632
DB00252,hasSideEffect,C0392156
DB00252,hasSideEffect,C0424295
DB00252,hasSideEffect,C0520966
DB00252,hasSideEffect,C0522224
DB00252,hasSideEffect,C0549249
DB00252,hasSideEffect,C0947912
DB00252,hasSideEffect,C1142135
DB00252,hasSideEffect,C1167965
DB00252,hasSideEffect,C1306341
DB00252,hasSideEffect,C1510410
DB00252,hasSideEffect,C2364111
DB00252,hasSideEffect,C0020461
DB00252,hasSideEffect,C0035078
DB00252,hasSideEffect,C0009421
DB00252,hasSideEffect,C0013362
DB00252,hasSideEffect,C0018946
DB00252,hasSideEffect,C0028738
DB00252,hasSideEffect,C0037822
DB00252,hasSideEffect,C1258215
DB00252,hasSideEffect,C0040409
DB00252,hasSideEffect,C0001122
DB00252,hasSideEffect,C0002884
DB00252,hasSideEffect,C0003578
DB00252,hasSideEffect,C0011616
DB00252,hasSideEffect,C0020621
DB00252,hasSideEffect,C2937358
DB00252,hasSideEffect,C0006384
DB00252,hasSideEffect,C0006852
DB00252,hasSideEffect,C0085641
DB00252,hasSideEffect,C0151889
DB00252,hasSideEffect,C0423791
