head,relation,tail
DB00966,hasSideEffect,C0012833
DB00966,hasSideEffect,C0013404
DB00966,hasSideEffect,C0013604
DB00966,hasSideEffect,C0017178
DB00966,hasSideEffect,C0020458
DB00966,hasSideEffect,C0022408
DB00966,hasSideEffect,C0029408
DB00966,hasSideEffect,C0033774
DB00966,hasSideEffect,C0035455
DB00966,hasSideEffect,C0037274
DB00966,hasSideEffect,C0037763
DB00966,hasSideEffect,C0042029
DB00966,hasSideEffect,C0042571
DB00966,hasSideEffect,C0085649
DB00966,hasSideEffect,C0231528
DB00966,hasSideEffect,C0700590
DB00966,hasSideEffect,C0948594
DB00966,hasSideEffect,C2830004
DB00966,hasSideEffect,C0006277
DB00966,hasSideEffect,C0009450
DB00966,hasSideEffect,C0010200
DB00966,hasSideEffect,C0010692
DB00966,hasSideEffect,C0015672
DB00966,hasSideEffect,C0016204
DB00966,hasSideEffect,C0023218
DB00966,hasSideEffect,C0031350
DB00966,hasSideEffect,C0037199
DB00966,hasSideEffect,C0041912
DB00966,hasSideEffect,C0043352
DB00966,hasSideEffect,C0232849
DB00966,hasSideEffect,C0403632
DB00966,hasSideEffect,C0030196
DB00966,hasSideEffect,C0392171
DB00966,hasSideEffect,C0521839
DB00966,hasSideEffect,C0003864
DB00966,hasSideEffect,C3665347
DB00966,hasSideEffect,C0017152
DB00966,hasSideEffect,C0020651
DB00966,hasSideEffect,C0030252
DB00966,hasSideEffect,C0039070
DB00966,hasSideEffect,C0041657
DB00966,hasSideEffect,C3665386
DB00966,hasSideEffect,C0020461
DB00966,hasSideEffect,C0035078
DB00966,hasSideEffect,C0235431
DB00966,hasSideEffect,C1565489
DB00966,hasSideEffect,C0037299
DB00966,hasSideEffect,C0036396
DB00966,hasSideEffect,C0022660
DB01039,hasSideEffect,C0011603
DB01039,hasSideEffect,C0015230
DB01039,hasSideEffect,C0151904
DB01039,hasSideEffect,C0000737
DB01039,hasSideEffect,C0004604
DB01039,hasSideEffect,C0008031
DB01039,hasSideEffect,C0013395
DB01039,hasSideEffect,C0018681
DB01039,hasSideEffect,C0027497
DB01039,hasSideEffect,C0030193
DB01039,hasSideEffect,C0042963
DB01039,hasSideEffect,C0687713
DB01039,hasSideEffect,C0917801
DB01039,hasSideEffect,C0003862
DB01039,hasSideEffect,C0004093
DB01039,hasSideEffect,C0009806
DB01039,hasSideEffect,C0011991
DB01039,hasSideEffect,C0012833
DB01039,hasSideEffect,C0017178
DB01039,hasSideEffect,C0021400
DB01039,hasSideEffect,C0027441
DB01039,hasSideEffect,C0033774
DB01039,hasSideEffect,C0035455
DB01039,hasSideEffect,C0037763
DB01039,hasSideEffect,C0162429
DB01039,hasSideEffect,C0231528
DB01039,hasSideEffect,C0948594
DB01039,hasSideEffect,C0006277
DB01039,hasSideEffect,C0011124
DB01039,hasSideEffect,C0015672
DB01039,hasSideEffect,C0016204
DB01039,hasSideEffect,C0031350
DB01039,hasSideEffect,C0037199
DB01039,hasSideEffect,C0041912
DB01039,hasSideEffect,C0231218
DB01039,hasSideEffect,C0234215
DB01039,hasSideEffect,C0855242
DB01039,hasSideEffect,C1443060
DB01039,hasSideEffect,C2047937
DB01039,hasSideEffect,C0009763
DB01039,hasSideEffect,C0151736
DB01039,hasSideEffect,C3263723
DB01039,hasSideEffect,C0030196
DB01039,hasSideEffect,C0151905
DB01039,hasSideEffect,C0026821
DB01039,hasSideEffect,C0030305
DB01039,hasSideEffect,C0151576
DB01039,hasSideEffect,C0853034
DB01039,hasSideEffect,C0017152
DB01039,hasSideEffect,C0042109
DB01039,hasSideEffect,C0151766
DB01039,hasSideEffect,C0162830
DB01039,hasSideEffect,C0235431
DB01039,hasSideEffect,C0438215
DB01039,hasSideEffect,C0013922
