head,relation,tail
DB00248,hasSideEffect,C0024902
DB00248,hasSideEffect,C0041912
DB00248,hasSideEffect,C0043352
DB00248,hasSideEffect,C0231218
DB00248,hasSideEffect,C0234215
DB00248,hasSideEffect,C1443060
DB00248,hasSideEffect,C2047937
DB00248,hasSideEffect,C0040460
DB00248,hasSideEffect,C0392171
DB00248,hasSideEffect,C0521839
DB00248,hasSideEffect,C3665347
DB00248,hasSideEffect,C0028084
DB00248,hasSideEffect,C0233414
DB00248,hasSideEffect,C0009676
DB00248,hasSideEffect,C0013384
DB00248,hasSideEffect,C0017152
DB00248,hasSideEffect,C0018524
DB00248,hasSideEffect,C0020651
DB00248,hasSideEffect,C0030252
DB00248,hasSideEffect,C0039070
DB00248,hasSideEffect,C0041657
DB00248,hasSideEffect,C0086439
DB00248,hasSideEffect,C0235146
DB00248,hasSideEffect,C1306341
DB00248,hasSideEffect,C3665386
DB00248,hasSideEffect,C0700184
DB00248,hasSideEffect,C0033575
DB00248,hasSideEffect,C0235198
DB00248,hasSideEffect,C0235437
DB00248,hasSideEffect,C0235886
DB00248,hasSideEffect,C0151205
DB00252,hasSideEffect,C0002871
DB00252,hasSideEffect,C0011603
DB00252,hasSideEffect,C0014591
DB00252,hasSideEffect,C0015230
DB00252,hasSideEffect,C0015967
DB00252,hasSideEffect,C0017181
DB00252,hasSideEffect,C0032285
DB00252,hasSideEffect,C0036974
DB00252,hasSideEffect,C0151698
DB00252,hasSideEffect,C0243026
DB00252,hasSideEffect,C0004604
DB00252,hasSideEffect,C0013395
DB00252,hasSideEffect,C0013491
DB00252,hasSideEffect,C0018681
DB00252,hasSideEffect,C0019079
DB00252,hasSideEffect,C0020538
DB00252,hasSideEffect,C0020649
DB00252,hasSideEffect,C0027497
DB00252,hasSideEffect,C0027769
DB00252,hasSideEffect,C0030794
DB00252,hasSideEffect,C0040034
DB00252,hasSideEffect,C0042963
DB00252,hasSideEffect,C0080274
